Category,Code,
Scotland,S04000001
All,S04000001
Clackmannanshire,S12000005
Dumfries and Galloway,S12000006
Dumfries & Galloway,S12000006
East Ayrshire,S12000008
East Lothian,S12000010
East Renfrewshire,S12000011
Na h-Eileanan Siar,S12000013
Falkirk,S12000014
Highland,S12000017
Inverclyde,S12000018
Midlothian,S12000019
Moray,S12000020
North Ayrshire,S12000021
Orkney Islands,S12000023
Scottish Borders,S12000026
Shetland Islands,S12000027
South Ayrshire,S12000028
South Lanarkshire,S12000029
Stirling,S12000030
Aberdeen City,S12000033
Aberdeenshire,S12000034
Argyll and Bute,S12000035
Argyll & Bute,S12000035
City of Edinburgh,S12000036
Renfrewshire,S12000038
West Dunbartonshire,S12000039
West Lothian,S12000040
Angus,S12000041
Dundee City,S12000042
East Dunbartonshire,S12000045
Fife,S12000047
Perth and Kinross,S12000048
Perth & Kinross,S12000048
Glasgow City,S12000049
North Lanarkshire,S12000050
