Label,Notation,Parent Notation,Sort Priority
United kingdom,united-kingdom,,1
All countries and regions,all-countries-and-regions,,2
England,england,,3
Wales,wales,,4
Scotland,scotland,,5
Northern ireland,northern-ireland,,6
North east,north-east,,7
North west,north-west,,8
Yorkshire and the humber,yorkshire-and-the-humber,,9
East midlands,east-midlands,,10
West midlands,west-midlands,,11
East of england,east-of-england,,12
London,london,,13
South east,south-east,,14
South west,south-west,,15
Unmatched,unmatched,,16
